fold,Lasso,Lasso_uncorr
1,0.8589848258395578,0.8162367267455037
2,0.8382967480883488,0.8026820296287135
3,0.8387707303501329,0.8182085924920308
4,0.8546305344623171,0.8126751935458981
5,0.8304819427316943,0.8258969731481894
