fold,GPR,GPR_uncorr
1,5.720578783954402,6.276376329874315
2,6.065808050474168,6.707046232826782
3,5.528636423210972,5.721024823437689
4,6.577354307155485,7.451903491527707
5,6.973557821072007,8.043592964223011
