fold,GPR,GPR_uncorr
1,0.8392806188706223,0.8110983948408973
2,0.8261067089153838,0.7985391781872246
3,0.8439805056098827,0.8336274712465385
4,0.8223028479571437,0.7674173050035553
5,0.7592378506905064,0.7080283670909486
