fold,Lasso,Lasso_uncorr
1,5.170844518000208,6.319988563525827
2,5.752863326257829,6.650139457908693
3,5.668890142328425,6.06944221095229
4,5.74129470333911,6.614531832103027
5,5.917759312117386,6.1791034223216545
