fold,GBM,GBM_uncorr
1,0.5463438206053141,0.2733685591477114
2,0.45837785476165216,0.18486211489042226
3,0.48791681573664614,0.20811128502548637
4,0.5228050106968598,0.23965968437783092
5,0.5531414735662115,0.290585217522071
