fold,GPR,GPR_uncorr
1,1.4735798787377132,2.5448340552930895
2,1.6138044053397165,2.742601973845451
3,1.6584541620578386,2.6690958390544592
4,1.4682447515179702,2.4296069776280693
5,1.467623815306026,2.50453933496648
