fold,GBM,GBM_uncorr
1,1.9305193433311785,2.4932642530619393
2,2.2497996877309157,2.7604732051615715
3,2.1768774201767216,2.7380874352011513
4,2.0220441590570313,2.590175530298344
5,2.016267136087838,2.5375124268380964
