fold,Lasso,Lasso_uncorr
1,0.8582664752510814,0.27964828420607557
2,0.819089365491295,0.2195338570349018
3,0.8203530522932642,0.20830024204983566
4,0.8461518732873521,0.2402913704688272
5,0.8706870120804633,0.29952079356857764
