fold,Lasso,Lasso_uncorr
1,1.133295019607999,2.5773745941481745
2,1.2629415475386814,2.7455377192840387
3,1.2455799104219316,2.7314987615538415
4,1.1258305361904153,2.576331891734804
5,1.052189079497265,2.556001136042692
