fold,GBM,GBM_uncorr
1,0.7540786935083916,0.6341685846957592
2,0.6829376531772875,0.6615177294262602
3,0.7702130294014775,0.6907097879839306
4,0.7377648028813711,0.6047933946903448
5,0.7226520024288696,0.6287815003993966
