fold,GPR,GPR_uncorr
1,6.015447268943901,7.21727131645652
2,6.611498173735077,8.863886651508485
3,6.2363334329893645,7.072180196734139
4,5.913735854293424,7.390845692724066
5,6.816340550980735,7.572218900012786
