fold,Lasso,Lasso_uncorr
1,5.534792242563049,6.601320348629225
2,6.781636851654927,7.417852838161268
3,6.021577475593152,6.929186275559688
4,5.267178656888363,6.890445466621713
5,6.040743566972765,7.365202408200673
