fold,Lasso,Lasso_uncorr
1,0.8171951544950546,0.7298401490297306
2,0.7149253022380675,0.7013953719366575
3,0.7779545049189296,0.7091182606275186
4,0.8259130624764061,0.7285895225608296
5,0.7646801336597548,0.6920540903027967
